,city_cn,city_en,city_id,country,placeNumber,position_x,position_y,url,visitedNumber
0,马尼拉,Manila,7271,philippines,584,14.599512,120.984222,//place.qyer.com/manila/,22882
1,长滩岛,Boracay,7286,philippines,453,11.963376,121.926506,//place.qyer.com/boracay/,17049
2,宿雾市,Cebu city,7280,philippines,41,10.311111,123.891670,//place.qyer.com/cebu-city/,11728
3,薄荷岛,Bohol,7264,philippines,170,9.858663,124.177704,//place.qyer.com/bohol/,9019
4,杜马盖地,Dumaguete,7267,philippines,93,9.310278,123.308060,//place.qyer.com/dumaguete/,3928
5,菲律宾科隆,Coron,7270,philippines,69,11.998611,120.205833,//place.qyer.com/coron/,3523
6,卡利博,Kalibo,14199,philippines,3,11.700000,122.366669,//place.qyer.com/kalibo/,3186
7,邦劳,Panglao City,13742,philippines,2,9.583333,123.750000,//place.qyer.com/panglao-city/,2251
8,公主港,Puerto princesa,7276,philippines,10,9.966219,118.785416,//place.qyer.com/puerto-princesa/,2203
9,巴拉望岛,Palawan,7262,philippines,42,9.445074,118.394394,//place.qyer.com/palawan/,2017
10,加莱拉港,PG,7278,philippines,20,13.501891,120.954117,//place.qyer.com/pg/,1738
11,锡基霍尔,Siquijor,7283,philippines,12,9.215556,123.514168,//place.qyer.com/siquijor/,1675
12,爱妮岛,El nido,7259,philippines,13,11.209802,119.461006,//place.qyer.com/el-nido/,1569
13,克拉克,Clark,11388,philippines,5,15.183735,120.534721,//place.qyer.com/clark/,1426
14,马勒帕斯卡岛,Malapascua Island,10429,philippines,8,11.335846,124.115639,//place.qyer.com/malapascua-island/,853
15,墨宝,Moalboal,11504,philippines,8,9.957373,123.385857,//place.qyer.com/moalboal/,817
16,黎牙实比,Legazpi,10125,philippines,11,13.124589,123.740906,//place.qyer.com/legazpi/,749
17,达沃,Davao,9925,philippines,13,7.190708,125.455338,//place.qyer.com/davao/,478
18,碧瑶,Baguio,7265,philippines,10,16.388277,120.598778,//place.qyer.com/baguio/,402
19,马卡蒂,San Pedro Makati,14513,philippines,0,14.546964,121.067192,//place.qyer.com/san-pedro-makati/,369
20,拉瓦格,Laoag,10155,philippines,8,18.196012,120.592667,//place.qyer.com/laoag/,334
21,栋索尔,Donsol,7266,philippines,6,12.911820,123.602699,//place.qyer.com/donsol/,328
22,八打雁,Batangas,24638,philippines,1,13.756457,121.058273,//place.qyer.com/batangas/,284
23,巴克拉洋,Baclayon,13349,philippines,1,9.633333,123.900002,//place.qyer.com/baclayon/,283
24,塔盖泰,Tagaytay,10157,philippines,2,14.115286,120.962112,//place.qyer.com/tagaytay/,258
25,甘米银,Camiguin,10431,philippines,17,9.173216,124.729874,//place.qyer.com/camiguin/,256
26,维甘,Vigan,7282,philippines,9,17.576826,120.386002,//place.qyer.com/vigan/,250
27,罗博,Loboc,14462,philippines,1,9.633333,124.033333,//place.qyer.com/loboc/,203
28,伊洛伊洛,Iloilo,7285,philippines,8,10.696944,122.564445,//place.qyer.com/iloilo/,188
29,巴拿威,Banaue,10156,philippines,3,16.918888,121.058891,//place.qyer.com/banaue/,138
30,班塔延岛,Bantayan,10548,philippines,6,11.169512,123.726585,//place.qyer.com/bantayan/,136
31,巴科洛德,Bacolod,7261,philippines,2,10.656424,122.956223,//place.qyer.com/bacolod/,110
32,塔克洛班,Tacloban,7281,philippines,6,11.233551,124.994453,//place.qyer.com/tacloban/,107
33,卡加延-德奥罗,Cagayan de oro,7269,philippines,5,8.481111,124.643059,//place.qyer.com/cagayan-de-oro/,105
34,锡亚高岛,Siargao,10543,philippines,7,9.848188,126.045845,//place.qyer.com/siargao/,104
35,安吉利斯,Angeles,13648,philippines,0,15.144985,120.588699,//place.qyer.com/angeles/,99
36,苏里高,Surigao,10544,philippines,1,9.757131,125.513763,//place.qyer.com/surigao/,85
37,巴顿港,Port barton,7260,philippines,2,10.415546,119.179367,//place.qyer.com/port-barton/,81
38,萨加达,Sagada,7277,philippines,1,17.086390,120.906670,//place.qyer.com/sagada/,74
39,达拉盖地,Dalaguete,24520,philippines,1,9.783662,123.505600,//place.qyer.com/dalaguete/,63
